[mm_1d | mm1_final_rawmax_k2] M=1000 rep=1/50 done
[mm_1d | mm1_final_rawmax_k2] M=2000 rep=44/50 done
[mm_1d | mm1_final_rawmax_k2] M=2000 rep=45/50 done
[mm_1d | mm1_final_rawmax_k2] M=2000 rep=46/50 done
[mm_1d | mm1_final_rawmax_k2] M=2000 rep=47/50 done
[mm_1d | mm1_final_rawmax_k2] M=2000 rep=48/50 done
[mm_1d | mm1_final_rawmax_k2] M=2000 rep=49/50 done
[mm_1d | mm1_final_rawmax_k2] M=2000 rep=50/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=1/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=2/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=3/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=4/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=5/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=6/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=7/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=8/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=9/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=10/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=11/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=12/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=13/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=14/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=15/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=16/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=17/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=18/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=19/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=20/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=21/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=22/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=23/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=24/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=25/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=26/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=27/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=28/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=29/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=30/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=31/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=32/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=33/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=34/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=35/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=36/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=37/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=38/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=39/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=40/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=41/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=42/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=43/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=44/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=45/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=46/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=47/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=48/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=49/50 done
[mm_1d | mm1_final_rawmax_k2] M=4000 rep=50/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=1/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=2/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=3/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=4/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=5/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=6/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=7/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=8/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=9/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=10/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=11/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=12/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=13/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=14/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=15/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=16/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=17/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=18/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=19/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=20/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=21/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=22/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=23/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=24/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=25/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=26/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=27/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=28/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=29/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=30/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=31/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=32/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=33/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=34/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=35/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=36/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=37/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=38/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=39/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=40/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=41/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=42/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=43/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=44/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=45/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=46/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=47/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=48/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=49/50 done
[mm_1d | mm1_final_rawmax_k2] M=8000 rep=50/50 done
Wrote raw outputs to /home/marbelstone/github/OthmaneAnalytics/sb-drift-experiments/results/raw/rate/mm_1d/mm1_final_rawmax_k2
Wrote processed outputs to /home/marbelstone/github/OthmaneAnalytics/sb-drift-experiments/results/processed/rate/mm_1d/mm1_final_rawmax_k2
Wrote figures to /home/marbelstone/github/OthmaneAnalytics/sb-drift-experiments/results/figures
